Subdomain,URL,Language,Exergy (%),Smoke (%),Clickbait (%),Tech (%),Commercial (%),C5-Real (%),Classification,Posts Scanned
sarapanacea,https://sarapanacea.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
monicaencinas,https://monicaencinas.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,1
toniherrera,https://toniherrera.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
emprendeenremoto,https://emprendeenremoto.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
thepowerofstorytelling,https://thepowerofstorytelling.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lospasosdebikila,https://lospasosdebikila.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lazonamixta,https://lazonamixta.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
drignacioalcala,https://drignacioalcala.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
estrategiaconsciente,https://estrategiaconsciente.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
multiversialnewsletter,https://multiversialnewsletter.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
pipspost,https://pipspost.substack.com,en,100.0,0.0,0.0,80.0,0.0,0.0,Técnico / Práctico,5
aiwithjason,https://aiwithjason.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
daydreamerventures,https://daydreamerventures.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,2
getpushtoprod,https://getpushtoprod.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
thefractionalgcbrief,https://thefractionalgcbrief.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
mattpaige68,https://mattpaige68.substack.com,en,100.0,0.0,0.0,60.0,0.0,0.0,Técnico / Práctico,5
brockhart,https://brockhart.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
theaicorner1,https://theaicorner1.substack.com,en,100.0,0.0,0.0,40.0,0.0,0.0,Técnico / Práctico,5
cjonsystems,https://cjonsystems.substack.com,en,100.0,0.0,0.0,80.0,0.0,0.0,Técnico / Práctico,5
designgurus,https://designgurus.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
europeantechnologynetwork,https://europeantechnologynetwork.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
robotscooking,https://robotscooking.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
thecollectivecommunity,https://thecollectivecommunity.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
thecodinggopher,https://thecodinggopher.substack.com,en,100.0,0.0,0.0,60.0,0.0,0.0,Técnico / Práctico,5
ethicore,https://ethicore.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
nazaninbigdeli,https://nazaninbigdeli.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
scalingeurope,https://scalingeurope.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
sharperthinkingleadership,https://sharperthinkingleadership.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
cyberbuildingblocks,https://cyberbuildingblocks.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
stephenemillard,https://stephenemillard.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
susanjmontgomery,https://susanjmontgomery.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
michaelburnett3,https://michaelburnett3.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
taisiya,https://taisiya.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
al3x4ndr3,https://al3x4ndr3.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
carlosguadian,https://carlosguadian.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
drphilippahardman,https://drphilippahardman.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
joemasilotti,https://joemasilotti.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
nishaleclair,https://nishaleclair.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
wineistalking,https://wineistalking.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
relacionesconscientespro,https://relacionesconscientespro.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
clubiaparatodos,https://clubiaparatodos.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
gerardpuxhe,https://gerardpuxhe.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
desdemiikigai,https://desdemiikigai.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
germanmartinezai,https://germanmartinezai.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
dateunminuto,https://dateunminuto.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
movidasdeemprender,https://movidasdeemprender.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lauradiazredaccionseo,https://lauradiazredaccionseo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
martaprallo,https://martaprallo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
latriptonita,https://latriptonita.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
veronicallorcasmith,https://veronicallorcasmith.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
negociosdigitales,https://negociosdigitales.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
creacomounachica,https://creacomounachica.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
europeo,https://europeo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lecciones,https://lecciones.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,2
leyesp,https://leyesp.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
estados,https://estados.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,1
geopo,https://geopo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,2
creandotribu,https://creandotribu.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
herramientas,https://herramientas.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
marketingred,https://marketingred.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
leyarg,https://leyarg.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
cursos,https://cursos.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
excalatunegocio,https://excalatunegocio.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
finanzapersonal,https://finanzapersonal.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
audiencias,https://audiencias.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
carreras,https://carreras.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
liderar,https://liderar.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
leamos,https://leamos.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
mercados,https://mercados.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
dineros,https://dineros.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
dempresa,https://dempresa.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
ecologia,https://ecologia.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
ventasconsoniaferrent,https://ventasconsoniaferrent.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
estilo,https://estilo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
guias,https://guias.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
danibiadiu,https://danibiadiu.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
eduardod,https://eduardod.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
failagain,https://failagain.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
elmapadelcambio,https://elmapadelcambio.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
pasaportenegro,https://pasaportenegro.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
luisllorens,https://luisllorens.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
analizandoawallstreet,https://analizandoawallstreet.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
juanpcadile,https://juanpcadile.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
ignacioibanez,https://ignacioibanez.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lapsicoletter,https://lapsicoletter.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
alvarodegrado,https://alvarodegrado.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
marketingen5minutos,https://marketingen5minutos.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
clubideasmillonarias,https://clubideasmillonarias.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
inversionfacil,https://inversionfacil.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
digitaldata,https://digitaldata.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
laacademia,https://laacademia.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
moclano,https://moclano.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
buildlibre,https://buildlibre.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
digitalflow2,https://digitalflow2.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
jjmontoya,https://jjmontoya.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
labrujuladelosmercados,https://labrujuladelosmercados.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
chrislogar,https://chrislogar.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
danigoico,https://danigoico.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
janocabello,https://janocabello.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
cocoabeanspodcast,https://cocoabeanspodcast.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
elcaminodelautodidacta,https://elcaminodelautodidacta.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
drayesi,https://drayesi.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
qriteriacapital,https://qriteriacapital.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
porsipapanoesta,https://porsipapanoesta.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
totaltrader,https://totaltrader.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
benjaminmichlig,https://benjaminmichlig.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lisanalpablo,https://lisanalpablo.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
timomason,https://timomason.substack.com,en,100.0,0.0,0.0,40.0,0.0,0.0,Técnico / Práctico,5
venturecapitaljobs,https://venturecapitaljobs.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
dailypasture,https://dailypasture.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
findhigherground,https://findhigherground.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
legalquants,https://legalquants.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
elinversorintelectual,https://elinversorintelectual.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
clariztegui,https://clariztegui.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
pepmartorell,https://pepmartorell.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
saulgordillo,https://saulgordillo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
macronotes,https://macronotes.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
filosofiadelalgoritmo,https://filosofiadelalgoritmo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
123lab,https://123lab.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
winfriedadalbertetzel,https://winfriedadalbertetzel.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
revolucia,https://revolucia.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
theslowai,https://theslowai.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
mvidmar,https://mvidmar.substack.com,en,100.0,0.0,0.0,40.0,0.0,0.0,Técnico / Práctico,5
mikexcohen,https://mikexcohen.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
cashandcache,https://cashandcache.substack.com,en,100.0,0.0,0.0,60.0,0.0,0.0,Técnico / Práctico,5
hodgesj,https://hodgesj.substack.com,en,100.0,0.0,0.0,60.0,0.0,0.0,Técnico / Práctico,5
